Index,acquirers,0,1,2,3,4,5,6,7,8,9
3021,CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,CENTRAL STATE BANCORPORATION,"SUNTRUST BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",EXCHANGE STATE BANK CORP.,"FIRST INTERSTATE BANCSYSTEM, INC.","MID STATE BANKS, INC.","STATE BANKSHARES, INC.","AMERICAN INTERSTATE BANCORPORATION, INC."
3022,Republic Bancorp,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.",CALIFORNIA REPUBLIC BANCORP,CU BANCORP,TPB BANCORP,BNC BANCORP,PBB BANCORP,RBB BANCORP,"REPUBLIC BANCSHARES, INC.",REPUBLIC FINANCIAL CORPORATION
3023,Yadkin Financial,YADKIN FINANCIAL CORPORATION,MACKINAC FINANCIAL CORPORATION,MADISON FINANCIAL CORPORATION,"BLACKRIDGE FINANCIAL, INC.","FRANKLIN FINANCIAL NETWORK, INC.","KLEIN FINANCIAL, INC.",VAN FINANCIAL CORPORATION,HOPKINS FINANCIAL CORPORATION,PYRAMID FINANCIAL CORPORATION,HERKY HAWK FINANCIAL CORP.
3024,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"BANK OF NOVA SCOTIA, THE","BANKERS' BANK OF THE WEST BANCORP, INC.",BANK OF ERATH HOLDING COMPANY,FIRST STATE BANK OF THE FLORIDA KEYS HOLDING COMPANY,BANK OF SOUTH CAROLINA CORPORATION,"BANK OF SOUTHSIDE VIRGINIA CORPORATION, THE","BANK OF THE JAMES FINANCIAL GROUP, INC.","BANK OF NEW YORK MELLON CORPORATION, THE"
3025,Revere Bank,PINE RIVER BANK CORP.,FIRST PIONEER BANK CORP.,MALVERN BANK CORPORATION,"CARPENTER BANK PARTNERS, INC.",CENTURY BANK CORP.,"ARVEST BANK GROUP, INC.","MERIWETHER BANK SHARES, INC.",EASTERN BANK CORPORATION,INDEPENDENT BANK CORP.,WEST SHORE BANK CORPORATION
3026,Renasant,RENASANT CORPORATION,"PEOPLES BANCORP OF MT. PLEASANT, INC.","PLEASANTS COUNTY BANKSHARES, INC.","LAURENS BANCORP., LTD.","MARKESAN BANCSHARES, INC.",NORTHEAST BANCORP,JORGENSON HOLDING COMPANY,"FIRSNABANCO, INC.","CANTON BANCSHARES, INC.",GENEVA STATE COMPANY
3027,Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES, INC.","SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANKSHARES, INC.","NORTHERN BANCSHARES, INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN FIRST BANCSHARES, INC.","SOUTHEASTERN BANCSHARES, INC.","CITIZENS SOUTHERN BANCSHARES, INC.","SOUTHERN STATES BANCSHARES, INC.","SOUTHERN MINNESOTA BANCSHARES, INC."
3028,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HARRIS TAUBMAN FINANCIAL CORPORATION,NORTHERN STATES FINANCIAL CORPORATION,"NEBRASKALAND FINANCIAL SERVICES, INC.",SOUTHEASTERN BANK FINANCIAL CORPORATION,TRUSTATLANTIC FINANCIAL CORPORATION,FARMERS AND MERCHANTS FINANCIAL CORPORATION,BANK OF HIGHLAND PARK FINANCIAL CORP
3029,Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIRST SOUTHERN BANCORP, INC.","FIDELITY BANCSHARES (N.C.), INC.","FIRST FIDELITY BANCORP, INC.",FIDELITY MUTUAL HOLDING COMPANY,"FIRST SOUTHERN BANCSHARES, INC.","COMMUNITY & SOUTHERN HOLDINGS, INC.","GREAT SOUTHERN BANCORP, INC.","FIDELITY KANSAS BANKSHARES, INC.",GREAT SOUTHERN CAPITAL CORPORATION
3030,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN BANCORP, INC.",AMERIANA BANCORP,AMERIS BANCORP,ONE AMERICAN CORP.,CNB BANCORP,SAN BANCORP.,SIERRA BANCORP,BEACON BANCORP
3031,KeyCorp,KEYCORP,BAYLAKE CORP.,KENBANCORP,FIRST BUSEY CORPORATION,"ELKCORP, INC.",CENTURY BANK CORP.,COMMUNITYCORP,FIRST BANK CORP,DELHI BANK CORP.,F & M BANK CORP.
3032,Seacoast Bankg of Florida,STATE BANK OF INDIA,BANK OF MONTREAL,"BANKERS' BANCORPORATION OF FLORIDA, INC.",FIRST STATE BANK OF THE FLORIDA KEYS HOLDING COMPANY,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","COMMERCE NATIONAL BANKSHARES OF FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.","GATEWAY FINANCIAL HOLDINGS OF FLORIDA, INC.",STATE BANK OF BOTTINEAU HOLDING COMPANY,COAST BANCORP
3033,Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"NATIONAL BANKSHARES, INC.","REGIONAL BANKSHARES, INC.","WADENA BANKSHARES, INC.","SARDIS BANKSHARES, INC.","CBA BANKSHARES, INC.",AMERICAN NATIONAL BANKSHARES INC.,"CARLSON BANKSHARES, INC.","BANK OF DARDANELLE BANKSHARES, INC.","CHARTER BANKSHARES, INC."
3034,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"BANK OF NOVA SCOTIA, THE","BANKERS' BANK OF THE WEST BANCORP, INC.",BANK OF ERATH HOLDING COMPANY,FIRST STATE BANK OF THE FLORIDA KEYS HOLDING COMPANY,BANK OF SOUTH CAROLINA CORPORATION,"BANK OF SOUTHSIDE VIRGINIA CORPORATION, THE","BANK OF THE JAMES FINANCIAL GROUP, INC.","BANK OF NEW YORK MELLON CORPORATION, THE"
3035,United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","ELK COUNTY BANKSHARES, INC.","NATIONAL UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","ROSCOE COMMUNITY BANKSHARES, INC.",COMMUNITY BANKSHARES OF WYOMING,"FRANKLIN COUNTY UNITED BANCSHARES, INC.","PLEASANTS COUNTY BANKSHARES, INC.","SPRINGFIELD BANKSHARES, INC."
3036,BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,FNB BANCORP,MNB BANCORP,TPB BANCORP,CNB BANCORP,FSB BANCORP,BOR BANCORP,SAN BANCORP.
